year,county_fips,DEMOCRAT,GREEN,LIBERTARIAN,OTHER,REPUBLICAN,TOTAL,MARGIN
2000,6029.0,66003.0,3474.0,,2168.0,110663.0,182308.0,0.24497005068345876
2000,6031.0,11041.0,567.0,,350.0,16377.0,28335.0,0.18831833421563438
2000,6033.0,10717.0,1265.0,,238.0,8699.0,20919.0,-0.09646732635403223
2000,6035.0,2982.0,339.0,,185.0,7080.0,10586.0,0.387115057623276
2000,6037.0,1710505.0,83731.0,,28988.0,871930.0,2695154.0,-0.3111417752009718
2000,6039.0,11650.0,1080.0,,382.0,20283.0,33395.0,0.2585117532564755
2000,6041.0,79135.0,8289.0,,859.0,34872.0,123155.0,-0.3594088749949251
2000,6043.0,2816.0,379.0,,152.0,4727.0,8074.0,0.2366856576665841
2000,6045.0,16634.0,5051.0,,453.0,12272.0,34410.0,-0.12676547515257192
2000,6047.0,22726.0,1166.0,,424.0,26102.0,50418.0,0.0669602126224761
2000,6049.0,945.0,122.0,,71.0,2969.0,4107.0,0.4928171414657901
2000,6051.0,1788.0,230.0,,57.0,2296.0,4371.0,0.11622054449782658
2000,6053.0,67618.0,5059.0,,1096.0,43761.0,117534.0,-0.20297956336038933
2000,6055.0,28097.0,2471.0,,523.0,20633.0,51724.0,-0.14430438481169283
2000,6057.0,17670.0,3287.0,,524.0,25998.0,47479.0,0.17540386276037828
2000,6059.0,391819.0,26833.0,,10954.0,541299.0,970905.0,0.15395945020367596
2000,6061.0,42449.0,4449.0,,1066.0,69835.0,117799.0,0.2324807511099415
2000,6063.0,3458.0,456.0,,144.0,6343.0,10401.0,0.2773771752716085
2000,6065.0,202576.0,11678.0,,4918.0,231955.0,451127.0,0.06512356830781577
2000,6067.0,212792.0,17659.0,,5480.0,195619.0,431550.0,-0.039793766655080526
2000,6069.0,9131.0,535.0,,150.0,7015.0,16831.0,-0.12572039688669717
2000,6071.0,214749.0,11775.0,,6612.0,221757.0,454893.0,0.015405820709485527
2000,6073.0,437666.0,33979.0,,11253.0,475736.0,958634.0,0.039712757945159466
2000,6075.0,241578.0,24828.0,,1884.0,51496.0,319786.0,-0.5944037575128367
2000,6077.0,79776.0,4195.0,,1495.0,81773.0,167239.0,0.011940994624459605
2000,6079.0,44526.0,6523.0,,978.0,56859.0,108886.0,0.11326524989438495
2000,6081.0,166757.0,10433.0,,1913.0,80296.0,259399.0,-0.3333127729867887
2000,6083.0,73411.0,8664.0,,1406.0,71493.0,154974.0,-0.01237626956779847
2000,6085.0,332490.0,19072.0,,7817.0,188750.0,548129.0,-0.26223753897348984
2000,6087.0,66618.0,10844.0,,1261.0,29627.0,108350.0,-0.34140286109829254
2000,6089.0,20127.0,2131.0,,1008.0,43278.0,66544.0,0.3479051454676605
2000,6091.0,540.0,86.0,,49.0,1172.0,1847.0,0.3421765024363833
2000,6093.0,6323.0,872.0,,426.0,12198.0,19819.0,0.2964327160805288
2000,6095.0,75116.0,3869.0,,1146.0,51604.0,131735.0,-0.17847952328538352
2000,6097.0,117295.0,14324.0,,1858.0,63529.0,197006.0,-0.2729155457194197
2000,6099.0,56448.0,3398.0,,1233.0,67188.0,128267.0,0.08373159113411867
2000,6101.0,8416.0,594.0,,204.0,17350.0,26564.0,0.3363198313507002
2000,6103.0,6507.0,697.0,,380.0,13270.0,20854.0,0.3243022921262108
2000,6105.0,1932.0,396.0,,129.0,3340.0,5797.0,0.2428842504743833
2000,6107.0,33006.0,1834.0,,908.0,54070.0,89818.0,0.23451869335767886
2000,6109.0,9359.0,949.0,,247.0,13172.0,23727.0,0.16070299658616766
2000,6111.0,133258.0,10235.0,,3026.0,136173.0,282692.0,0.010311575849334257
