,,,,,,,2000_2016_pct_chg,2000_2016_pct_chg,2016_2020,2016_2020
,,,,,,,std,median,pct_change,vote_change
county_fips,POP_ESTIMATE_2020,state,state_po,county_name,fixed_fips,size,,,,
13113,119491.0,GEORGIA,GA,FAYETTE,13113,s,0.1651368102956945,0.21476057838552853,0.4200738704689915,9781.0
13115,98583.0,GEORGIA,GA,FLOYD,13115,xs,0.06853957029446434,-0.03681352861746873,0.3110601594060487,2849.0
13117,252901.0,GEORGIA,GA,FORSYTH,13117,s,0.32985077794211776,0.49234955193076313,0.7987810075867361,18741.0
13119,23471.0,GEORGIA,GA,FRANKLIN,13119,xs,0.1423679222081092,-0.15910963656543115,0.2815768302493966,350.0
13121,1069394.0,GEORGIA,GA,FULTON,13121,l,0.19025850139598788,0.23725256644840176,0.283092802246079,84093.0
13123,31427.0,GEORGIA,GA,GILMER,13123,xs,0.1621302349765228,0.022504669778495856,0.4921119592875318,967.0
13125,2899.0,GEORGIA,GA,GLASCOCK,13125,xs,0.0952382914408296,-0.16095238095238096,0.12318840579710155,17.0
13127,84482.0,GEORGIA,GA,GLYNN,13127,xs,0.21386932814178422,0.0687899353503229,0.34853503184713386,4104.0
13129,57722.0,GEORGIA,GA,GORDON,13129,xs,0.10917527443362805,-0.03814138058324107,0.3781829613329142,1203.0
13131,26224.0,GEORGIA,GA,GRADY,13131,xs,0.12990813510588128,0.05121952384616674,0.20112844341188185,606.0
13133,19028.0,GEORGIA,GA,GREENE,13133,xs,0.1624710138590923,0.10152609798623219,0.2778993435448578,889.0
13135,958359.0,GEORGIA,GA,GWINNETT,13135,l,0.22761429157846547,0.29195621583236486,0.4554476897799016,75674.0
13137,46142.0,GEORGIA,GA,HABERSHAM,13137,xs,0.14072090318255398,0.06682074987159725,0.43495771244462333,1080.0
13139,203473.0,GEORGIA,GA,HALL,13139,s,0.2140106691910542,0.13478367771449973,0.5470333745364648,8851.0
13141,8711.0,GEORGIA,GA,HANCOCK,13141,xs,0.2133464086438723,0.030237159708395966,0.10514624213254353,284.0
13143,30036.0,GEORGIA,GA,HARALSON,13143,xs,0.05473820379452065,-0.16356891120964823,0.21491525423728808,317.0
13145,34898.0,GEORGIA,GA,HARRIS,13145,xs,0.12444559267369165,0.0791305969365243,0.33553597650513955,1371.0
13147,25878.0,GEORGIA,GA,HART,13147,xs,0.10279957413306746,-0.06603558634034168,0.22127659574468095,572.0
13149,11444.0,GEORGIA,GA,HEARD,13149,xs,0.0797402004387601,-0.09127281360556955,0.10901749663526239,81.0
13151,241852.0,GEORGIA,GA,HENRY,13151,s,0.42712914593820395,0.4530655949389937,0.4638512096210321,23219.0
13153,164356.0,GEORGIA,GA,HOUSTON,13153,s,0.216519825294052,0.07965669264486697,0.4291668514166629,9679.0
13155,9647.0,GEORGIA,GA,IRWIN,13155,xs,0.14623222292413407,-0.04782620200576859,0.13131313131313127,117.0
